dataset,model,Accuracy_clean,F1_clean,Accuracy_shift,F1_shift,shap_spearman,shap_jaccard,error
titanic,rf,0.8648648648648649,0.9090909090909092,0.8108108108108109,0.8771929824561403,0.9934793343482404,0.8181818181818182,
telco,rf,0.7341862117981521,0.0,0.7341862117981521,0.0,0.9999999637693556,0.8181818181818182,
drybean,rf,0.9517102615694164,0.9516944210458108,0.56841046277666,0.5451024150559359,0.972027972027972,1.0,
titanic,catboost,1.0,1.0,0.8108108108108109,0.8571428571428571,0.998174542176618,0.8181818181818182,
telco,catboost,0.8130774697938877,0.6068759342301944,0.7647476901208244,0.4582651391162029,0.9999354375204612,1.0,
drybean,catboost,0.9859154929577464,0.9859140673080038,0.5724346076458753,0.5480247144729451,0.9790209790209792,1.0,
titanic,mlp,0.6756756756756757,0.8064516129032258,0.6756756756756757,0.8064516129032258,0.8876847969641005,0.4285714285714285,
telco,mlp,0.8009950248756219,0.6067415730337079,0.7697228144989339,0.5304347826086957,0.989025277439835,0.6666666666666666,
drybean,mlp,0.7665995975855131,0.7664142488442667,0.5855130784708249,0.5736215225720473,0.9510489510489512,1.0,
titanic,tabnet,0.6756756756756757,0.8064516129032258,0.6756756756756757,0.8064516129032258,0.8893711654353574,0.25,
telco,tabnet,0.9410092395167022,0.8839160839160839,0.8251599147121536,0.6261398176291794,0.9888740500349656,0.3333333333333333,
drybean,tabnet,0.8390342052313883,0.8389063785132873,0.5865191146881288,0.5809095301550762,0.965034965034965,0.8181818181818182,
titanic,lgbm,,,,,,,OpenMP SHM error while running model.predict; skipped in this environment.
titanic,xgboost,,,,,,,OpenMP SHM error while running model.predict; skipped in this environment.
telco,lgbm,,,,,,,OpenMP SHM error while running model.predict; skipped in this environment.
telco,xgboost,,,,,,,OpenMP SHM error while running model.predict; skipped in this environment.
drybean,lgbm,,,,,,,OpenMP SHM error while running model.predict; skipped in this environment.
drybean,xgboost,,,,,,,OpenMP SHM error while running model.predict; skipped in this environment.
